,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,
Carcinoma in situ of other and unspecified sites (D09),0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Benign neoplasms (D10-D36),55,71,126,,53,82,135,,37,63,100,,49,81,130,,50,74,124,,50,81,131,,50,78,128,,45,76,121,,54,87,141,,58,78,136,,49,82,131
Benign neoplasm of mouth and pharynx (D10),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,1,0,1
Benign neoplasm of major salivary glands (D11),0,0,0,,0,0,0,,0,0,0,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0
"Benign neoplasm of colon, rectum, anus and anal canal (D12)",1,2,3,,1,2,3,,0,2,2,,3,2,5,,0,1,1,,0,1,1,,1,1,2,,0,1,1,,1,0,1,,2,1,3,,2,1,3
Benign neoplasm of other and ill-defined parts of digestive system (D13),1,2,3,,2,7,9,,3,4,7,,4,3,7,,2,0,2,,4,3,7,,2,3,5,,2,1,3,,3,2,5,,2,2,4,,2,2,4
Benign neoplasm of middle ear and respiratory system (D14),1,0,1,,0,0,0,,0,1,1,,0,2,2,,0,0,0,,1,0,1,,0,1,1,,0,1,1,,0,0,0,,0,1,1,,0,0,0
Benign neoplasm of other and unspecified intrathoracic organs (D15),2,0,2,,1,3,4,,2,4,6,,0,4,4,,1,7,8,,1,5,6,,1,2,3,,3,2,5,,4,6,10,,2,1,3,,4,4,8
Benign neoplasm of bone and articular cartilage (D16),1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,1,1,,0,0,0,,0,1,1,,1,0,1,,1,0,1,,0,1,1,,0,1,1
Benign lipomatous neoplasm (D17),0,1,1,,1,0,1,,0,0,0,,2,0,2,,1,0,1,,0,0,0,,0,0,0,,0,2,2,,1,0,1,,0,1,1,,0,1,1
"Haemangioma and lymphangioma, any site (D18)",5,7,12,,6,2,8,,2,3,5,,4,1,5,,3,7,10,,1,4,5,,4,5,9,,4,7,11,,3,7,10,,4,5,9,,4,5,9
Benign neoplasm of mesothelial tissue (D19),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Benign neoplasm of soft tissue of retroperitoneum and peritoneum (D20),0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other benign neoplasms of connective and other soft tissue (D21),0,0,0,,1,3,4,,0,0,0,,0,1,1,,0,0,0,,0,1,1,,0,1,1,,0,0,0,,0,1,1,,0,2,2,,0,0,0
Melanocytic naevi (D22),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other benign neoplasms of skin (D23),1,1,2,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,1,0,1,,0,0,0,,0,1,1
Benign neoplasm of breast (D24),0,0,0,,0,1,1,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Leiomyoma of uterus (D25),0,0,0,,0,0,0,,0,2,2,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1
Other benign neoplasms of uterus (D26),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Benign neoplasm of ovary (D27),0,0,0,,0,0,0,,0,0,0,,0,2,2,,0,0,0,,0,0,0,,0,0,0,,0,2,2,,0,0,0,,0,0,0,,0,0,0
Benign neoplasm of other and unspecified female genital organs (D28),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Benign neoplasm of male genital organs (D29),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Benign neoplasm of urinary organs (D30),1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,1,1,,1,0,1
Benign neoplasm of eye and adnexa (D31),0,1,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Benign neoplasm of meninges (D32),32,45,77,,33,45,78,,20,41,61,,27,54,81,,28,42,70,,37,53,90,,32,52,84,,28,51,79,,23,58,81,,35,50,85,,23,60,83
Benign neoplasm of brain and other parts of central nervous system (D33),5,3,8,,2,8,10,,5,2,7,,5,4,9,,11,5,16,,1,6,7,,2,3,5,,4,3,7,,5,3,8,,5,5,10,,3,2,5
Benign neoplasm of thyroid gland (D34),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0
Benign neoplasm of other and unspecified endocrine glands (D35),5,5,10,,5,6,11,,2,3,5,,2,2,4,,4,5,9,,5,6,11,,6,7,13,,2,4,6,,7,8,15,,7,8,15,,9,3,12
Benign neoplasm of other and unspecified sites (D36),0,3,3,,1,4,5,,0,0,0,,1,5,6,,0,2,2,,0,2,2,,1,1,2,,1,1,2,,3,1,4,,1,0,1,,0,1,1
Neoplasms of uncertain or unknown behaviour (D37-D48),507,431,938,,444,398,842,,480,370,850,,494,427,921,,525,411,936,,577,462,1039,,586,484,1070,,630,495,1125,,571,460,"1,031",,579,455,"1,034",,578,446,"1,024"
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs (D37),33,36,69,,33,29,62,,31,35,66,,39,40,79,,26,33,59,,41,46,87,,52,45,97,,63,54,117,,53,43,96,,43,39,82,,37,36,73
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs (D38),12,20,32,,19,12,31,,15,13,28,,14,14,28,,18,12,30,,22,15,37,,19,16,35,,16,17,33,,12,9,21,,13,17,30,,9,6,15
Neoplasm of uncertain or unknown behaviour of female genital organs (D39),0,3,3,,0,7,7,,0,5,5,,0,6,6,,0,5,5,,0,9,9,,0,6,6,,0,9,9,,0,8,8,,0,6,6,,0,8,8
Neoplasm of uncertain or unknown behaviour of male genital organs (D40),0,0,0,,2,0,2,,1,0,1,,1,0,1,,1,0,1,,0,0,0,,2,0,2,,0,0,0,,0,0,0,,1,0,1,,0,0,0
Neoplasm of uncertain or unknown behaviour of urinary organs (D41),13,7,20,,11,6,17,,9,4,13,,9,6,15,,8,9,17,,9,11,20,,20,6,26,,13,6,19,,15,5,20,,11,5,16,,9,7,16
Neoplasm of uncertain or unknown behaviour of meninges (D42),1,0,1,,1,1,2,,0,1,1,,0,0,0,,0,0,0,,0,2,2,,0,2,2,,0,1,1,,0,2,2,,1,2,3,,1,3,4
Neoplasm of uncertain or unknown behaviour of brain and central nervous system (D43),67,79,146,,76,81,157,,88,68,156,,73,83,156,,81,81,162,,83,74,157,,77,72,149,,80,93,173,,67,61,128,,73,53,126,,64,60,124
Neoplasm of uncertain or unknown behaviour of endocrine glands (D44),6,7,13,,6,8,14,,15,6,21,,5,9,14,,7,2,9,,12,7,19,,5,10,15,,9,4,13,,4,13,17,,5,9,14,,12,7,19
Polycythaemia vera (D45),8,12,20,,13,11,24,,10,10,20,,5,9,14,,5,10,15,,12,15,27,,15,8,23,,14,13,27,,8,13,21,,11,20,31,,9,19,28
Myelodysplastic syndromes (D46),256,169,425,,182,160,342,,209,140,349,,245,147,392,,277,157,434,,263,151,414,,258,200,458,,290,182,472,,261,179,440,,274,186,460,,298,168,466
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue (D47)",99,71,170,,78,64,142,,86,64,150,,80,78,158,,80,80,160,,104,91,195,,102,83,185,,126,89,215,,122,86,208,,122,93,215,,123,104,227
Neoplasm of uncertain or unknown behaviour of other and unspecified sites (D48),12,27,39,,23,19,42,,16,24,40,,23,35,58,,22,22,44,,31,41,72,,36,36,72,,19,27,46,,29,41,70,,25,25,50,,16,28,44
CHAPTER III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),247,252,499,,195,227,422,,195,216,411,,229,241,470,,206,230,436,,228,290,518,,243,283,526,,232,292,524,,241,255,496,,261,268,529,,213,258,471
Nutritional anaemias (D50-D53),7,16,23,,4,14,18,,6,19,25,,6,16,22,,8,11,19,,11,27,38,,13,22,35,,10,23,33,,14,19,33,,5,31,36,,12,20,32
Iron deficiency anaemia (D50),5,12,17,,3,10,13,,5,15,20,,3,13,16,,7,10,17,,10,23,33,,11,19,30,,8,21,29,,10,17,27,,4,27,31,,10,16,26
Vitamin B12 deficiency anaemia (D51),2,3,5,,0,3,3,,1,1,2,,3,0,3,,0,1,1,,1,2,3,,1,2,3,,1,0,1,,3,0,3,,0,3,3,,0,2,2
Folate deficiency anaemia (D52),0,0,0,,0,1,1,,0,2,2,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,2,2,,1,2,3,,0,1,1,,2,2,4
Other nutritional anaemias (D53),0,1,1,,1,0,1,,0,1,1,,0,2,2,,0,0,0,,0,2,2,,1,1,2,,1,0,1,,0,0,0,,1,0,1,,0,0,0
Haemolytic anaemias (D55-D59),9,12,21,,11,7,18,,13,10,23,,10,13,23,,9,10,19,,13,20,33,,16,19,35,,11,16,27,,15,22,37,,21,22,43,,4,15,19
Anaemia due to enzyme disorders (D55),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1
Thalassaemia (D56),1,2,3,,2,2,4,,1,0,1,,1,0,1,,3,0,3,,1,3,4,,0,1,1,,0,0,0,,2,1,3,,2,1,3,,2,0,2
Sickle-cell disorders (D57),1,0,1,,1,0,1,,1,0,1,,1,1,2,,0,0,0,,0,1,1,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,1,1
Other hereditary haemolytic anaemias (D58),4,4,8,,3,2,5,,5,6,11,,2,4,6,,3,5,8,,10,7,17,,6,11,17,,7,10,17,,9,13,22,,11,9,20,,0,2,2
Acquired haemolytic anaemia (D59),3,6,9,,5,3,8,,6,4,10,,5,8,13,,3,4,7,,2,9,11,,9,6,15,,4,6,10,,4,8,12,,7,12,19,,2,11,13
Aplastic and other anaemias (D60-D64),74,95,169,,45,73,118,,61,89,150,,75,84,159,,64,83,147,,81,122,203,,76,106,182,,83,118,201,,80,88,168,,100,105,205,,78,90,168
Acquired pure red cell aplasia [erythroblastopenia] (D60),0,0,0,,0,0,0,,1,0,1,,1,1,2,,0,0,0,,0,1,1,,1,0,1,,1,0,1,,1,0,1,,0,1,1,,0,1,1
Other aplastic anaemias (D61),35,44,79,,20,28,48,,26,29,55,,39,31,70,,22,24,46,,26,44,70,,25,30,55,,34,33,67,,28,25,53,,39,35,74,,30,26,56
Acute posthaemorrhagic anaemia (D62),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other anaemias (D64),39,51,90,,25,45,70,,34,60,94,,35,52,87,,42,59,101,,55,77,132,,50,76,126,,48,85,133,,51,63,114,,61,69,130,,48,63,111
"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",66,48,114,,52,52,104,,57,45,102,,65,47,112,,45,44,89,,50,55,105,,52,58,110,,49,53,102,,62,49,111,,43,37,80,,40,40,80
Disseminated intravascular coagulation [defibrination syndrome] (D65),7,4,11,,9,14,23,,11,7,18,,6,14,20,,10,9,19,,10,15,25,,8,10,18,,7,7,14,,9,11,20,,4,2,6,,5,7,12
Hereditary factor VIII deficiency (D66),3,3,6,,3,0,3,,5,0,5,,2,1,3,,1,0,1,,1,1,2,,5,0,5,,0,2,2,,2,1,3,,3,2,5,,5,0,5
Hereditary factor IX deficiency (D67),0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
Other coagulation defects (D68),20,26,46,,23,16,39,,28,17,45,,31,16,47,,20,23,43,,19,14,33,,15,21,36,,20,19,39,,28,16,44,,14,20,34,,13,17,30
Purpura and other haemorrhagic conditions (D69),36,15,51,,17,22,39,,12,21,33,,26,16,42,,14,12,26,,19,25,44,,24,27,51,,21,25,46,,23,21,44,,22,13,35,,17,16,33
Other diseases of blood and blood-forming organs (D70-D77),33,34,67,,34,35,69,,31,22,53,,30,38,68,,46,44,90,,34,25,59,,49,38,87,,41,31,72,,31,24,55,,43,38,81,,37,38,75
Agranulocytosis (D70),13,12,25,,17,16,33,,17,8,25,,12,15,27,,23,21,44,,13,10,23,,23,21,44,,13,16,29,,12,11,23,,21,11,32,,14,11,25
Functional disorders of polymorphonuclear neutrophils (D71),1,0,1,,1,0,1,,0,1,1,,1,0,1,,1,0,1,,0,0,0,,0,1,1,,0,0,0,,1,0,1,,0,0,0,,1,0,1
Other disorders of white blood cells (D72),1,5,6,,0,0,0,,1,2,3,,1,1,2,,1,1,2,,1,0,1,,3,0,3,,2,2,4,,0,0,0,,1,3,4,,2,2,4
Diseases of spleen (D73),3,2,5,,2,5,7,,3,2,5,,2,8,10,,2,7,9,,3,2,5,,1,3,4,,3,1,4,,2,4,6,,3,4,7,,3,8,11
Methaemoglobinaemia (D74),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other diseases of blood and blood-forming organs (D75),9,7,16,,5,8,13,,3,3,6,,3,8,11,,8,5,13,,4,6,10,,4,4,8,,2,3,5,,2,1,3,,3,6,9,,2,5,7
Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue (D76),6,8,14,,9,6,15,,7,6,13,,11,6,17,,11,10,21,,13,7,20,,18,9,27,,21,9,30,,14,8,22,,15,14,29,,15,12,27
Certain disorders involving the immune mechanism (D80-D89),58,47,105,,49,46,95,,27,31,58,,43,43,86,,34,38,72,,39,41,80,,37,40,77,,38,51,89,,39,53,92,,49,35,84,,42,55,97
Immunodeficiency with predominantly antibody defects (D80),3,2,5,,4,4,8,,0,1,1,,3,1,4,,3,2,5,,3,0,3,,2,1,3,,2,2,4,,0,6,6,,1,3,4,,4,5,9
Combined immunodeficiencies (D81),0,0,0,,0,0,0,,1,0,1,,0,1,1,,1,1,2,,1,0,1,,0,0,0,,0,1,1,,0,0,0,,1,0,1,,0,0,0
Immunodeficiency associated with other major defects (D82),3,3,6,,2,3,5,,2,1,3,,3,4,7,,3,3,6,,2,2,4,,0,1,1,,1,2,3,,0,1,1,,1,0,1,,2,1,3
Common variable immunodeficiency (D83),0,0,0,,0,0,0,,1,1,2,,0,0,0,,2,0,2,,1,1,2,,0,0,0,,0,1,1,,0,0,0,,2,0,2,,2,2,4
Other immunodeficiencies (D84),29,29,58,,25,21,46,,6,13,19,,7,21,28,,12,15,27,,6,9,15,,8,6,14,,8,18,26,,14,13,27,,13,8,21,,10,14,24
Sarcoidosis (D86),19,10,29,,15,14,29,,14,11,25,,18,11,29,,10,15,25,,19,20,39,,19,20,39,,18,18,36,,20,25,45,,22,15,37,,16,26,42
"Other disorders involving the immune mechanism, not elsewhere classified (D89)",4,3,7,,3,4,7,,3,4,7,,12,5,17,,3,2,5,,7,9,16,,8,12,20,,9,9,18,,5,8,13,,9,9,18,,8,7,15
"CHAPTER IV Endocrine, nutritional and metabolic diseases (E00-E90)","2,883","2,960","5,843",,"2,883","2,972","5,855",,"2,812","2,886","5,698",,"2,976","3,086","6,062",,"3,049","3,098","6,147",,"3,118","2,980","6,098",,"3,132","3,151","6,283",,"3,385","3,236","6,621",,"3,503","3,243","6,746",,"3,565","3,358","6,923",,"3,217","2,863","6,080"
Disorders of thyroid gland (E00-E07),21,92,113,,21,108,129,,25,106,131,,35,107,142,,21,104,125,,20,110,130,,31,120,151,,19,116,135,,29,91,120,,33,95,128,,28,73,101
Congenital iodine-deficiency syndrome (E00),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Iodine-deficiency-related thyroid disorders and allied conditions (E01),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Subclinical iodine-deficiency hypothyroidism (E02),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other hypothyroidism (E03),16,55,71,,8,70,78,,11,68,79,,21,79,100,,14,71,85,,10,72,82,,12,81,93,,10,88,98,,18,56,74,,16,66,82,,15,51,66
Other nontoxic goitre (E04),2,1,3,,1,7,8,,2,6,8,,0,5,5,,1,2,3,,0,2,2,,4,6,10,,3,7,10,,2,8,10,,2,3,5,,0,5,5
Thyrotoxicosis [hyperthyroidism] (E05),3,34,37,,9,26,35,,11,30,41,,10,19,29,,3,29,32,,9,33,42,,12,26,38,,6,20,26,,5,22,27,,13,21,34,,12,13,25
Thyroiditis (E06),0,0,0,,1,2,3,,0,0,0,,1,2,3,,0,0,0,,0,0,0,,1,2,3,,0,0,0,,2,1,3,,0,2,2,,0,0,0
Other disorders of thyroid (E07),0,2,2,,2,3,5,,1,2,3,,3,2,5,,3,2,5,,1,3,4,,2,5,7,,0,1,1,,2,4,6,,2,3,5,,1,4,5
Diabetes mellitus (E10-E14),"2,114","2,021","4,135",,"2,122","2,048","4,170",,"1,989","1,936","3,925",,"2,167","2,029","4,196",,"2,234","2,065","4,299",,"2,322","2,021","4,343",,"2,223","2,180","4,403",,"2,469","2,169","4,638",,"2,575","2,190","4,765",,"2,629","2,285","4,914",,"2,350","1,952","4,302"
Insulin-dependent diabetes mellitus (E10),197,181,378,,181,179,360,,184,167,351,,183,178,361,,187,186,373,,161,167,328,,165,163,328,,191,152,343,,227,146,373,,192,152,344,,151,145,296
Non-insulin-dependent diabetes mellitus (E11),905,928,"1,833",,910,861,"1,771",,814,816,"1,630",,888,914,"1,802",,938,874,"1,812",,1055,921,"1,976",,988,1071,"2,059",,1131,1008,"2,139",,"1,202",1079,"2,281",,1290,"1,144","2,434",,"1,178",983,"2,161"
Malnutrition-related diabetes mellitus (E12),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,1,0,1,,1,0,1,,1,1,2,,0,0,0
Other specified diabetes mellitus (E13),0,0,0,,1,0,1,,1,0,1,,1,0,1,,1,1,2,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,1,1,,0,1,1
Unspecified diabetes mellitus (E14),1012,912,"1,924",,1030,1008,"2,038",,990,953,"1,943",,"1,095",937,"2,032",,"1,108","1,004","2,112",,1106,933,"2,039",,"1,070",944,"2,014",,"1,146","1,009","2,155",,"1,145",965,"2,110",,"1,146",987,"2,133",,"1,021",823,"1,844"
Other disorders of glucose regulation and pancreatic internal secretion (E15-E16),10,4,14,,6,5,11,,6,3,9,,5,6,11,,6,10,16,,5,10,15,,4,8,12,,5,7,12,,5,4,9,,4,3,7,,3,10,13
Nondiabetic hypoglycaemic coma (E15),0,1,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,1,1,,0,3,3,,0,0,0,,0,0,0,,0,1,1,,0,0,0
Other disorders of pancreatic internal secretion (E16),10,3,13,,6,5,11,,5,3,8,,5,6,11,,6,10,16,,5,9,14,,4,5,9,,5,7,12,,5,4,9,,4,2,6,,3,10,13
Disorders of other endocrine glands (E20-E35),19,31,50,,23,30,53,,18,29,47,,16,44,60,,18,30,48,,18,28,46,,17,33,50,,23,46,69,,24,37,61,,21,38,59,,26,26,52
Hypoparathyroidism (E20),1,1,2,,0,1,1,,0,0,0,,0,1,1,,0,1,1,,0,0,0,,0,0,0,,0,1,1,,1,1,2,,0,0,0,,1,0,1
Hyperparathyroidism and other disorders of parathyroid gland (E21),1,3,4,,7,9,16,,3,7,10,,1,14,15,,2,10,12,,4,9,13,,4,12,16,,6,14,20,,3,9,12,,5,16,21,,4,9,13
Hyperfunction of pituitary gland (E22),3,8,11,,3,3,6,,2,6,8,,3,6,9,,2,9,11,,2,4,6,,2,5,7,,1,9,10,,4,2,6,,1,2,3,,2,3,5
Hypofunction and other disorders of pituitary gland (E23),5,5,10,,4,4,8,,6,8,14,,3,7,10,,4,4,8,,2,5,7,,5,3,8,,6,9,15,,4,6,10,,3,5,8,,7,3,10
Cushing syndrome (E24),0,1,1,,0,2,2,,0,1,1,,0,3,3,,0,0,0,,0,3,3,,2,1,3,,1,1,2,,0,0,0,,0,0,0,,1,1,2
Adrenogenital disorders (E25),0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,1,1,,1,0,1,,1,0,1,,0,2,2,,0,1,1,,0,0,0,,1,0,1
Hyperaldosteronism (E26),1,1,2,,2,0,2,,0,0,0,,2,1,3,,1,0,1,,1,0,1,,1,0,1,,0,2,2,,2,3,5,,2,0,2,,3,1,4
Other disorders of adrenal gland (E27),7,8,15,,5,8,13,,5,3,8,,7,10,17,,5,4,9,,6,7,13,,2,12,14,,8,7,15,,10,15,25,,9,12,21,,4,8,12
Ovarian dysfunction (E28),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0
Testicular dysfunction (E29),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Disorders of puberty, not elsewhere classified (E30)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Polyglandular dysfunction (E31),0,1,1,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1
Diseases of thymus (E32),0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other endocrine disorders (E34),1,3,4,,2,1,3,,2,3,5,,0,2,2,,4,1,5,,2,0,2,,0,0,0,,1,0,1,,0,0,0,,1,3,4,,2,1,3
Malnutrition (E40-E46),32,38,70,,32,34,66,,35,53,88,,32,35,67,,29,38,67,,24,45,69,,53,47,100,,50,53,103,,54,54,108,,46,60,106,,37,55,92
Kwashiorkor (E40),2,0,2,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0
Nutritional marasmus (E41),1,2,3,,0,2,2,,1,1,2,,0,1,1,,1,0,1,,0,0,0,,0,2,2,,0,2,2,,0,0,0,,1,0,1,,0,3,3
Marasmic kwashiorkor (E42),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified severe protein-energy malnutrition (E43),6,5,11,,2,3,5,,5,6,11,,5,4,9,,6,5,11,,5,7,12,,10,5,15,,10,10,20,,9,3,12,,11,9,20,,8,4,12
Protein-energy malnutrition of moderate and mild degree (E44),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Retarded development following protein-energy malnutrition (E45),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified protein-energy malnutrition (E46),23,31,54,,30,29,59,,29,46,75,,26,30,56,,22,33,55,,19,38,57,,43,40,83,,40,41,81,,45,51,96,,34,50,84,,29,48,77
Other nutritional deficiencies (E50-E64),10,16,26,,9,14,23,,14,19,33,,6,13,19,,5,10,15,,9,7,16,,8,12,20,,5,6,11,,4,11,15,,3,10,13,,8,4,12
Vitamin A deficiency (E50),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Thiamine deficiency (E51),3,1,4,,3,1,4,,2,2,4,,1,1,2,,1,0,1,,4,1,5,,5,0,5,,1,1,2,,2,0,2,,3,1,4,,3,0,3
Niacin deficiency [pellagra] (E52),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Deficiency of other B group vitamins (E53),4,7,11,,1,6,7,,3,8,11,,3,4,7,,2,3,5,,1,4,5,,1,10,11,,0,1,1,,1,4,5,,0,6,6,,1,2,3
Ascorbic acid deficiency (E54),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Vitamin D deficiency (E55),1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other vitamin deficiencies (E56),0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Dietary calcium deficiency (E58),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Dietary selenium deficiency (E59),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Dietary zinc deficiency (E60),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Deficiency of other nutrient elements (E61),1,2,3,,1,1,2,,0,2,2,,0,1,1,,0,1,1,,2,1,3,,2,0,2,,3,2,5,,1,4,5,,0,2,2,,1,1,2
Other nutritional deficiencies (E63),1,6,7,,4,6,10,,8,7,15,,2,7,9,,2,6,8,,1,1,2,,0,1,1,,1,2,3,,0,3,3,,0,1,1,,3,1,4
Sequelae of malnutrition and other nutritional deficiencies (E64),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Obesity and other hyperalimentation (E65-E68),86,102,188,,104,105,209,,118,113,231,,123,156,279,,128,99,227,,127,117,244,,164,116,280,,185,186,371,,195,162,357,,167,170,337,,161,118,279
Localized adiposity (E65),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Obesity (E66),86,102,188,,104,105,209,,118,113,231,,123,156,279,,128,99,227,,127,117,244,,164,116,280,,185,186,371,,195,162,357,,167,170,337,,161,118,279
Other hyperalimentation (E67),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Sequelae of hyperalimentation (E68),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
